Property Title,Price,Details,Link
"1 Flora St, Newburyport, MA 01950","$750,000","2 Beds
1 Bath
620 Sq Ft",https://www.homes.com/property/1-flora-st-newburyport-ma/ggznbrcbyktdl/
"6 Willis Holden Dr, Acton, MA 01720","$1,250,000","4 Beds
3.5 Baths
4,079 Sq Ft",https://www.homes.com/property/6-willis-holden-dr-acton-ma/b0t7x66s7w252/
"3 Centennial Dr, Blackstone, MA 01504","$799,000","4 Beds
2.5 Baths
4,281 Sq Ft",https://www.homes.com/property/3-centennial-dr-blackstone-ma/9jff5k4hl4z5y/
"57 Oak St, Wareham, MA 02571","$1,350,000","4 Beds
2 Baths
1,920 Sq Ft",https://www.homes.com/property/57-oak-st-wareham-ma/4n8qbsyj195w6/
"188 Old Oaken Bucket Rd, Scituate, MA 02066","$759,000 OPEN SUN 10:45AM - 1PM","4 Beds
1.5 Baths
1,587 Sq Ft",https://www.homes.com/property/188-old-oaken-bucket-rd-scituate-ma/sx27p5n9qlmjy/
"15 Marla Cir, Newton Center, MA 02459","$2,995,000","6 Beds
8 Baths
7,538 Sq Ft",https://www.homes.com/property/15-marla-cir-newton-center-ma/1x3s08pkeprnw/
"34 Riveredge Rd, Billerica, MA 01862","$850,000","3 Beds
2.5 Baths
1,305 Sq Ft",https://www.homes.com/property/34-riveredge-rd-billerica-ma/cxrrjrp9e11gs/
"11 Pembroke St, Kingston, MA 02364","$695,000","3 Beds
2.5 Baths
2,600 Sq Ft",https://www.homes.com/property/11-pembroke-st-kingston-ma/drp4p217x7hw2/
"499 Vernon Ave, Barre, MA 01005","$249,000","2 Baths
2,286 Sq Ft",https://www.homes.com/property/499-vernon-ave-barre-ma/z90tr4mf96djs/
"9 Chandler St, Lexington, MA 02420","$5,450,000","6 Beds
7.5 Baths
7,336 Sq Ft",https://www.homes.com/property/9-chandler-st-lexington-ma/w4d1r2ng0pq9d/
"259 Mile Hill Rd, Boylston, MA 01505","$565,000","2 Beds
2 Baths
1,428 Sq Ft",https://www.homes.com/property/259-mile-hill-rd-boylston-ma/7svjjc6fx6trj/
"9 Linwood St, Webster, MA 01570","$339,900","4 Beds
2 Baths
1,685 Sq Ft",https://www.homes.com/property/9-linwood-st-webster-ma/0rfzgn0kvctg2/
"26 Nashoba Trail, Littleton, MA 01460","$995,000","4 Beds
2.5 Baths
2,648 Sq Ft",https://www.homes.com/property/26-nashoba-trail-littleton-ma/75rnm9hwhxdwv/
"34 Uxbridge Rd, Sutton, MA 01590","$635,000 OPEN SAT 12PM - 1:30PM","4 Beds
2.5 Baths
1,908 Sq Ft",https://www.homes.com/property/34-uxbridge-rd-sutton-ma/h3qdk9fxsmskd/
"83 Glen St, Rowley, MA 01969","$1,199,000 OPEN WED 1PM - 3PM","4 Beds
3.5 Baths
4,200 Sq Ft",https://www.homes.com/property/83-glen-st-rowley-ma/8zrl9qc1d8et1/
"35 John St, Newton, MA 02459","$2,150,000","4 Beds
5 Baths
3,971 Sq Ft",https://www.homes.com/property/35-john-st-newton-ma/dfcyhg3rnn9tf/
"18 Westland St, Worcester, MA 01602","$695,000","5 Beds
2.5 Baths
3,969 Sq Ft",https://www.homes.com/property/18-westland-st-worcester-ma/9qd0de6ww26bn/
"8 Holly Ln, Beverly, MA 01915","$1,249,000","6 Beds
3.5 Baths
4,010 Sq Ft",https://www.homes.com/property/8-holly-ln-beverly-ma/elfr3mcrb8gbs/
"80 Nottinghill Rd Unit 2, Brighton, MA 02135","$719,000","3 Beds
2 Baths
1,560 Sq Ft",https://www.homes.com/property/80-nottinghill-rd-brighton-ma-unit-2/k0f50wv9p9ht4/
"290 Central St, Georgetown, MA 01833","$849,900 OPEN TUE 3PM - 5PM","4 Beds
1.5 Baths
2,366 Sq Ft",https://www.homes.com/property/290-central-st-georgetown-ma/d8gr9bpv1jk70/
"497 Church St, Northborough, MA 01532","$969,900","3 Beds
3 Baths
2,500 Sq Ft",https://www.homes.com/property/497-church-st-northborough-ma/c6s8jpj524cgy/
"76 Wolcott St, Medford, MA 02155","$1,100,000","5 Beds
3 Baths
2,750 Sq Ft",https://www.homes.com/property/76-wolcott-st-medford-ma/bsjbxhffc7mwb/
"4 Musket Way, Franklin, MA 02038","$874,900","4 Beds
2.5 Baths
2,665 Sq Ft",https://www.homes.com/property/4-musket-way-franklin-ma/z2mz3sfz4wttp/
"9 Starr Ln, Rehoboth, MA 02769","$1,550,000","4 Beds
4 Baths
4,200 Sq Ft",https://www.homes.com/property/9-starr-ln-rehoboth-ma/ez8b297dbthem/
"60 Farmington Ave, Longmeadow, MA 01106","$711,000","5 Beds
3.5 Baths
3,241 Sq Ft",https://www.homes.com/property/60-farmington-ave-longmeadow-ma/3zbeh9znvr9zv/
"61 Halvorsen Ave, Hull, MA 02045","$600,000","4 Beds
1.5 Baths
1,557 Sq Ft",https://www.homes.com/property/61-halvorsen-ave-hull-ma/ep5dt5rv02fjs/
"8 Winston Rd, Lexington, MA 02421","$3,495,000","6 Beds
6.5 Baths
7,094 Sq Ft",https://www.homes.com/property/8-winston-rd-lexington-ma/kwm8rcksrdt4d/
"6 Fabyan Way, Buzzards Bay, MA 02532","$899,500","3 Beds
2.5 Baths
2,216 Sq Ft",https://www.homes.com/property/6-fabyan-way-buzzards-bay-ma/0dz4x2bfdg9x8/
"118 Paradise Ln, Rochester, MA 02770","$899,900","3 Beds
2.5 Baths
2,974 Sq Ft",https://www.homes.com/property/118-paradise-ln-rochester-ma/90qm2nlg4px5q/
"20 Sycamore Way Unit Lot 36, Medway, MA 02053","$999,000","3 Beds
2.5 Baths
2,430 Sq Ft",https://www.homes.com/property/20-sycamore-way-medway-ma-unit-lot-36/3kcq3pptb6hck/
"83 Elder Rd, Needham Heights, MA 02494","$3,350,000","6 Beds
8 Baths
8,271 Sq Ft",https://www.homes.com/property/83-elder-rd-needham-heights-ma/s3p77qr5dp5ck/
"45 Cove Ln, Barnstable, MA 2630","$1,076,380","3 Beds
3 Baths
2,532 Sq Ft",https://www.homes.com/property/45-cove-ln-barnstable-ma/eryyz12hd1y2n/
"42 Indian Hill, Florence, MA 01062","$565,000","2 Beds
3 Baths
1,531 Sq Ft",https://www.homes.com/property/42-indian-hill-florence-ma/9hnv34l56lzqx/?l=l88jv3gbb7lbk
"18 Brunswick Ave, Vineyard Haven, MA 02568","$1,200,000","3 Beds
1 Bath
875 Sq Ft",https://www.homes.com/property/18-brunswick-ave-vineyard-haven-ma/523bh6pwpwvlv/
